rl_method,clust_method,n_clusters,labels
Raw data,K-Means,2,[1 1 0 ... 1 0 0]
Raw data,K-Means,3,[0 0 2 ... 0 1 1]
Raw data,K-Means,4,[1 1 0 ... 1 3 3]
Raw data,K-Means,6,[5 2 0 ... 5 3 3]
Raw data,K-Means,7,[0 1 6 ... 0 3 3]
Raw data,GMM,2,[1 0 0 ... 1 0 0]
Raw data,GMM,3,[2 0 0 ... 2 1 1]
Raw data,GMM,4,[3 2 0 ... 3 1 1]
Raw data,GMM,6,[2 0 4 ... 3 1 4]
Raw data,GMM,7,[2 1 4 ... 1 5 4]
Raw data,Agglo.,2,[0 0 0 ... 0 0 0]
Raw data,Agglo.,3,[0 1 1 ... 0 1 1]
Raw data,Agglo.,4,[0 1 1 ... 0 2 2]
Raw data,Agglo.,6,[0 1 1 ... 0 3 3]
Raw data,Agglo.,7,[0 1 1 ... 0 3 3]
PCA,K-Means,2,[1 1 0 ... 1 0 0]
PCA,K-Means,3,[0 0 2 ... 0 2 2]
PCA,K-Means,4,[3 3 1 ... 3 2 2]
PCA,K-Means,6,[4 0 2 ... 4 1 1]
PCA,K-Means,7,[3 0 5 ... 2 6 6]
PCA,GMM,2,[0 1 1 ... 1 0 0]
PCA,GMM,3,[1 2 2 ... 0 1 1]
PCA,GMM,4,[1 2 0 ... 3 1 1]
PCA,GMM,6,[0 2 3 ... 1 0 5]
PCA,GMM,7,[4 3 1 ... 5 2 6]
PCA,Agglo.,2,[0 0 1 ... 0 0 0]
PCA,Agglo.,3,[0 0 1 ... 0 0 2]
PCA,Agglo.,4,[0 1 2 ... 0 1 3]
PCA,Agglo.,6,[0 1 2 ... 0 5 3]
PCA,Agglo.,7,[0 1 2 ... 3 6 4]
